backtest,total_trades,average_win,average_loss,average_annual_return,drawdown,expectancy,net_profit,sharpe_ratio,loss_rate,win_rate,profit_loss_ratio,trade_frequency,total_trades_2,average_win_2,average_loss_2,annual_return,net_profit_2,sharpe_ratio_2,loss_rate_2,win_rate_2,profit_loss_ratio_2,trade_frequency_2,compounding_annual_return,alpha,beta,annual_standard_deviation,annual_variance,information_ratio,tracking_error,treynor_ratio,total_fees,probabilistic_sharpe_ratio,estimated_strategy_capacity,lowest_capacity_asset,sortino_ratio,portfolio_turnover,total_orders,start_equity,end_equity
embedded_backtest_47a1545a409fd06fe720a8e8c6f067b2.html,,,,,0.5,0.691,,,,,,,1516,0.08,-0.1,40.346,184.23,5.505,6,94,0.8,,,0.233,-0.018,0.042,0.002,0.419,0.17,-12.492,,,,,,,,,
embedded_backtest_ce9dbade6062ef48479a01daae4627a4.html,,,,,0,0,,,,,,,4,0.12,0,138.553,0.482,27.531,0,100,0,,,0.855,-4.438,0.022,0,20.404,0.027,-0.137,,,,,,,,,
embedded_backtest_8a46d5dc421ac18b663e148504c8da8a.html,,,,,0.2,-0.069,,,,,,,9,0.09,-0.08,-0.05,-0.05,-0.136,56,44,1.09,,,-0.001,0.001,0.003,0,-2.112,0.092,-0.241,,,,,,,,,
embedded_backtest_c7e3f80567e6f6392c9e089d76281f08.html,,,,,10.4,0.941,,,,,,,360,3.1,-1.21,260.961,4324.802,1.248,46,54,2.56,,,0.167,0.001,0.134,0.018,0.508,0.217,145.667,,,,,,,,,
embedded_backtest_6da8795e28a9d657b8cc35e808a76ee5.html,,,,,8.2,0,,,,,,,1,32.56,0,,32.562,1.445,0,100,0,,19.241,0.08,0.485,0.127,0.016,-0.238,0.128,0.379,,,,,,,,,
embedded_backtest_4e60e7f0b9e612294766b69199523cce.html,,,,,13,0.364,,,,,,,948,1.34,-0.74,,1054.401,1.448,51,49,1.8,,17.019,0.158,0.003,0.109,0.012,0.397,0.229,47.988,,,,,,,,,
embedded_backtest_b8a2b5ea0e37d6d01de17df2b4ad01bd.html,,,,,22.7,0,,,,,,,5,43.68,0,,468.713,0.732,0,100,0,,11.468,0.111,0.147,0.168,0.028,0.178,0.243,0.837,,,,,,,,,
embedded_backtest_d7ca0cb3fb84caf4c32205536a3d6f47.html,,,,,10.5,0.889,,,,,,,441,2.83,-1.21,,7885.113,0.246,44,56,2.34,,30.252,4.772,-0.036,19.391,376.004,0.242,19.392,-130.649,,,,,,,,,
embedded_backtest_80fd37485d92b9d9031d21b8970efdc1.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_212efc5990b2a5953fddba18567d8a65.html,,,,,97.2,0.063,,,,,,,15329,0.11,-0.01,,-97.153,-7.918,90,10,9.74,,-98.82,-4.22,-0.044,0.533,0.284,-7.878,0.545,95.825,,,,,,,,,
embedded_backtest_75f0a66f9b524ee1760df8ebad928bba.html,,,,,2,-0.04,,,,,,,6,0.95,-1.03,,-0.175,-0.158,50,50,0.92,,-1.123,-0.011,0.043,0.05,0.003,-0.581,0.12,-0.186,,,,,,,,,
embedded_backtest_c3d3d24379604bd09a2acc75502f482b.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_9519ea5bb9dcc2d3a63256d777045942.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_62cd5422bfa70e6142fc162506851210.html,,,,,66.6,0.026,,,,,,,1348,0.83,-4.85,,186.87,0.423,12,88,0.17,,7.812,0.111,-0.032,0.257,0.066,0.152,0.336,-3.449,,,,,,,,,
embedded_backtest_c50e444eb1fa6b1107798dffc48b8894.html,,,,,94.1,-0.033,,,,,,,726,3.06,-3.55,,-87.738,-0.15,48,52,0.86,,-26.395,-0.081,-0.037,0.556,0.309,-0.269,0.596,2.262,,,,,,,,,
embedded_backtest_d23c39fc5721bb45891385a75ce85fe0.html,,,,,9.3,0,,,,,,,1,44.8,0,,44.799,1.854,0,100,0,,22.137,0.221,-0.079,0.111,0.012,0.019,0.161,-2.605,,,,,,,,,
embedded_backtest_ab257529f2d73373359d81d3688d6190.html,,,,,39.9,-1,,,,,,,5,0,-4.95,,-39.92,-8.429,100,0,0,,-95.43,-3.115,0.529,0.353,0.125,-9.182,0.353,-5.625,,,,,,,,,
embedded_backtest_f62e3c1f532e7277cdb72a6f3d42f171.html,,,,,55.1,0,,,,,,,1,87.26,0,,87.255,0.308,0,100,0,,4.29,0.067,-0.07,0.205,0.042,0,0.3,-0.897,,,,,,,,,
embedded_backtest_ceabdd58572555f79c0ffd7609332b96.html,,,,,14.7,0.716,,,,,,,43,5.67,-3.88,,203.658,1.033,30,70,1.46,,25.393,0.261,-0.021,0.249,0.062,0.344,0.297,-12.42,,,,,,,,,
embedded_backtest_1a751f5fdb72c271dc44fc78a4f7298c.html,,,,,17.1,0.157,,,,,,,273,1.63,-1.65,,89.419,1.318,42,58,0.99,,39.482,0.429,-0.279,0.282,0.08,0.535,0.313,-1.333,,,,,,,,,
embedded_backtest_f7890dde05c11c080078f871035f3de7.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_deb7e7a6f6cb28d525a42988ed70dc8f.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_3a8bb0cb906e7235d9d9864798017ce5.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_edd347a59394a5c7195900fd81014eba.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_bed71d706f4570dad1a8a50b69af0868.html,,,,,11.3,0,,,,,,,9,4.95,0,,53.658,1.318,0,100,0,,15.739,0.154,-0.006,0.116,0.013,-0.226,0.164,-23.934,,,,,,,,,
