index,aadr,acp,cqqq,cweb,dpst,dxd,eex,eslt,hyi,icfi,iiiv,ilcv,immp,krp,mcrb,mpwr,newtl,ostk,snbr,su,tenx,tmv,uga,umc,vnla,www,xtl
2020-01-03T17:00:00Z,52.0209830709,6.64732588061445,54.62489737838,310.16583345,967.8596832,108.34639672,10.4157753,151.50469515,11.39452351362,90.798876162,29.03,111.813362568,1.84,11.5962917265,3.41,173.506203355,20.72593627314,7.03,47.31,27.7304016,28.4,26.81131752,33.3,2.1708341206,44.752767644,31.655426283,67.227977742
2020-01-03T18:00:00Z,51.81404976,6.63981804078404,54.555186868,307.840826405,962.017851,108.687415055,10.410815407,151.48553553,11.37330792,90.456939357,28.97,111.803813216,1.8019,11.592874016,3.35,172.611691127,20.73539034,7.04,46.75,27.8145351,28.3,26.8597134,33.49,2.17026407,44.748261727,31.68321858,67.093271618
2020-01-03T19:00:00Z,51.81404976,6.64155061920644,54.376186984,307.98923111,960.133389,108.395113625,10.445534658,151.33225857,11.387889084,90.623022948,28.68,111.803813216,1.83,11.606544858,3.36,172.456123783,20.93384629812,7.06,46.37,27.60420135,28.4,26.47254636,33.384,2.17433586,44.748261727,31.720274976,67.093271618
2020-01-03T20:00:00Z,51.82354647,6.61844957357442,54.34635367,306.40624759,963.029807094,108.83356577,10.405855514,151.62923268,11.380598502,90.505787472,28.98,111.64519847928,1.83,11.627051121,3.27,171.853300325,20.93400519,7.21,46.77,27.6126147,28.2,26.47254636,33.44,2.16619228,44.725732142,31.701746778,67.3035093901
2020-01-06T14:00:00Z,51.6843247014,6.63000009639043,54.44579805,305.41688289,919.2405636,109.720213441,10.475294016,154.70435169,11.37024587556,89.841453108,28.45,111.17241006176,1.802,11.681734489,3.1782,169.753141181,20.93400519,7.17,45.45,27.8818419,28.204,26.24266593,33.775,2.135246676,44.770791312,31.377503313,66.8368488891
2020-01-06T15:00:00Z,51.6919220694,6.64155061920644,54.664575686,306.90092994,933.164853318,109.41816863,10.425695086,155.192922,11.37330792,90.0319607565,29.08,111.269049504,1.8201,11.87886803064,3.31,170.404579434,20.93400519,7.98,45.81,27.9828021,27.936,26.56933812,33.6326,2.13768975,44.766285395,31.331182818,67.0841308453
2020-01-06T16:00:00Z,51.5877431607,6.64155061920644,54.634742372,307.0948454212,936.577614,109.272017915,10.435614872,155.17376238,11.3656528089,90.261546897,28.82,111.35241534696,1.84,11.8355314615,3.3,170.385133516,20.81022841548,8.09,46.11,28.029075525,27.6,26.72662473,33.6326,2.13768975,44.76096841294,31.4979366,67.29456105472
2020-01-06T17:00:00Z,51.43418136,6.65310114202245,54.674520124,307.346144055,935.635383,109.22330101,10.4157753,155.063594565,11.351436174,90.232238028,29,111.460036544,1.85,11.8355314615,3.3087,169.976769238,20.81022841548,7.96,46.06,28.172102475,28.186,26.56933812,33.6326,2.13768975,44.761779478,31.358975115,67.276087072
2020-01-06T18:00:00Z,51.589927404,6.65881865081638,54.749103409,307.49454876,941.3829921,108.83356577,10.4157753,155.58569421,11.35355044278,90.535096341,29.06,111.51771463008,1.83,11.900467961,3.31,169.529513124,20.81022841548,7.78,45.94,28.2856827,28.38,26.59353606,33.422,2.14176154,44.78881498,31.33451789364,67.276087072
2020-01-06T19:00:00Z,51.42468465,6.65887640343046,54.734186752,307.39561229,936.411781344,108.6435698405,10.405855514,155.46115668,11.37330792,90.603483702,29.25,111.56116418168,1.785,11.914138803,3.32,169.782310058,20.78552072814,8,46.11,28.49601645,28.4,26.90810928,33.5437,2.14176154,44.757273561,31.386767412,67.276087072
2020-01-06T20:00:00Z,51.61461885,6.64155061920644,54.79385338,308.87965934,937.028000418,108.297679815,10.386015942,156.32333958,11.344145592,90.359243127,29.24,111.60537768144,1.77,11.866290856,3.28,170.093444746,20.93400519,8.2,46.1,28.5380832,28.3,26.88391134,33.3306,2.14176154,44.770791312,31.40529561,67.381927598
2020-01-07T14:00:00Z,51.67159911,6.66032021878246,54.947992169,309.17646875,915.256810932,109.07861180215,10.410815407,153.03746475,11.358726756,89.030574399,29.15,111.049414408,1.8132,11.7808480935,3.2,170.63793045,20.93400519,8.51,44.785,28.27726935,28.786,26.93230722,32.845,2.12140259,44.75664273262,31.386767412,67.516633722
2020-01-07T15:00:00Z,51.67159911,6.66465166483846,55.1230142778,315.1364017028,932.80869,108.6143396975,10.470334123,152.93208684,11.26394919,90.0221911335,29.37,111.192654688,1.79,11.797936646,3.15,172.806150307,20.93400519,8.13,45.5,28.36140285,28.462,26.95650516,33.0171,2.12140259,44.77115178536,31.516464798,67.42224321654
2020-01-07T16:00:00Z,51.60512214,6.65887640343046,55.02317212028,314.6763471173,909.6298074,109.10297025465,10.4157753,153.27696,11.2898307561,89.95653926694,29.14,110.896624776,1.79,11.852620014,3.21,172.757535512,20.93400519,8,44.985,28.315129425,28.8,26.95650516,32.99,2.13361796,44.77953279098,31.22001363,67.42224321654
2020-01-07T17:00:00Z,51.5671353,6.65310114202245,54.99274214,314.8217837282,906.6146682,109.1258672,10.400895621,153.00872532,11.26394919,90.574174833,29.11,110.82395420728,1.77,11.832113751,3.25,172.475569701,20.8402589808,8.04,45.02,28.315129425,27.976,27.08959383,32.9166,2.1374454426,44.78881498,31.173693135,67.42224321654
2020-01-07T18:00:00Z,51.682045491,6.65310114202245,55.04246433,314.667442835,911.137377,109.05912504015,10.4157753,153.17158209,11.278530354,89.890301223,29.24,110.82395420728,1.82,11.80812142329,3.17,172.067205423,21.0531741,8.245,45.16,28.49601645,27.2,27.21058353,32.9166,2.13768975,44.78881498,31.10902972398,67.42224321654
2020-01-07T19:00:00Z,51.60512214,6.65881865081638,55.002686578,314.7970496107,918.74118117,109.077150295,10.405855514,152.8971205335,11.3004021,89.792604993,29.04,111.06841761848,1.8,11.838949172,3.16,172.086651341,20.679778182,8.04,45.17,28.60539,27.2,27.27107838,32.8901,2.13361796,44.78313752458,31.0949482935,67.42224321654
2020-01-07T20:00:00Z,51.69059253,6.65887640343046,54.99274214,315.01372048,916.9792092,109.272017915,10.405855514,152.52015501,11.293111518,89.655830271,29.13,111.068513112,1.79,11.838949172,3.19,171.678287063,21.029340318,8.07,44.88,28.6895235,27.2,27.29527632,32.86,2.14990512,44.78881498,31.053259848,67.44533569494
2020-01-08T14:00:00Z,51.59562543,6.69641560258249,54.952964388,314.2063988848,932.80869,109.0469458139,10.46537423,152.0315847,11.31964923648,89.724217632,29.7096,111.28012675232,1.79,11.586038595,3.25,171.979698792,20.81483628,7.9587,45.37,28.52966985,26.87,27.17428662,32.7377,2.11325901,44.766285395,31.238541828,67.487768124
2020-01-08T15:00:00Z,51.71908266,6.6993032332865,54.967881045,313.2289065612,925.81733598,108.93099958,10.425695086,152.09864337,11.358726756,89.616751779,29.4183,110.982568944,1.85,11.319457176,3.135,170.910173302,20.7798800664,7.9594,45.15,28.4876031,27,27.05329692,32.1692,2.12140259,44.7829572879,30.905034264,67.97848329
2020-01-08T16:00:00Z,51.666850755,6.69710863395145,55.41826464202,318.5754334,944.051390292,107.76179386,10.455454444,152.09864337,11.307692682,90.417860865,29.28,110.982568944,1.85,11.285280071,3.175,172.106097259,20.81388292872,7.89,45.47,28.3866429,27.66,27.7066413,31.659,2.12140259,44.79638492056,31.182957234,67.4131986625
2020-01-08T17:00:00Z,51.61461885,6.65887640343046,55.47524627176,319.9476822389,941.99544225,107.6400015975,10.430654979,152.35729824,11.3178994968,90.046615191,29.48,110.982568944,1.8,11.25192321652,3.2,172.222772767,20.77511331,7.85,45.79,28.4034696,27.572,27.792543987,31.5,2.12954617,44.77989326434,31.173693135,67.4131986625
2020-01-08T18:00:00Z,51.8578295931,6.67013816317607,55.569519544,320.85097221,945.6230316,107.85922767,10.3984156745,152.2820967315,11.351436174,90.408091242,29.52,111.450487192,1.81,11.285280071,3.16,171.668564104,20.81483628,7.805,45.46,28.374022875,26.4,27.87602688,31.19,2.12954617,44.779803146,31.090316244,67.93037396
2020-01-08T19:00:00Z,51.8520366,6.64155061920644,55.629186172,321.7780069339,945.803939952,107.420775525,10.445534658,152.43393672,11.329564428,90.544865964,29.42,111.56880366328,1.82,11.3221913444,3.13,172.1984653695,20.926060596,7.85,45.78,28.4707764,27.296,28.04541246,31.53,2.12954617,44.770791312,31.164429036,67.90737770026
2020-01-08T20:00:00Z,51.7370314419,6.64732588061445,55.410408536,318.87224281,938.835199476,108.005378385,10.395935728,152.33813862,11.307692682,89.763296124,29.3,111.192654688,1.82,11.435659333,3.12,171.454659006,20.719501152,7.885,46.23,28.52966985,27,27.85182894,31.91,2.12547438,44.779803146,30.932826561,67.757180372
2020-01-09T14:00:00Z,52.11794448,6.66465166483846,56.28064630538,327.7527803572,946.942155,106.98232338,10.475294016,151.0736037,11.31870146082,90.27131652,29.745,111.431388488,1.87,11.57489685877,3.145,172.961717651,20.719501152,8.0751,46.52,28.1847225,27.2,28.21479804,31.39,2.1580487,44.77385533556,30.914298363,68.209408074
2020-01-09T15:00:00Z,52.11794448,6.67620218765447,56.1860747,327.97439805,951.8417562,106.5682296875,10.425695086,151.25562009,11.33685501,91.375283919,29.76,111.44093784,1.903,11.7466709885,3.15,173.924290592,20.981672754,8.15,46.45,28.1342424,27.102,28.35998568,31.3735,2.14990512,44.78466953636,31.053259848,68.08105238156
2020-01-09T16:00:00Z,52.11794448,6.66753929554247,56.275574642,327.430247465,949.46733408,106.2291600287,10.410815407,152.29023957,11.307692682,91.04321443323,29.81,111.431388488,1.9,11.900467961,3.15,173.506203355,20.83048713018,8.11,46.39,28.268856,27.11,28.23899598,31.3735,2.14990512,44.779803146,31.108844442,68.036214486
2020-01-09T17:00:00Z,52.3434913425,6.66176403413446,56.066741444,324.61055807,944.695876296,106.6656634975,10.4157753,152.30939919,11.293111518,91.140812967,29.67,111.46987237656,1.9,12.05091557721,3.16,173.010332446,20.997561942,8.04,46.105,28.5044298,26.942,28.02121452,31.3735,2.14176154,44.797826814,31.062523947,67.959239558
