predictor,rn,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
volume_4_close_ath,Annualized Return,0.2864,0.0685,0.0916,0.1254,0.1278,0.0914,0.0539,0.073,0.1278,0.1173,0.1321,0.0362,0.0882,0.1124,0.1103,0.1678,0.0676,0.0904,0.1282,0.0999,0.4351,0.121,0.0904,0.1178,0.1228
volume_4_close_ath,Annualized Std Dev,1.1983,0.2791,0.2444,0.1811,0.1289,0.3502,0.2855,0.2213,0.1752,0.1302,0.3689,0.2711,0.2235,0.1738,0.1295,0.3791,0.2764,0.2231,0.1743,0.1298,0.7807,0.3106,0.2134,0.1807,0.1279
volume_4_close_ath,Annualized Sharpe (Rf=0%),0.239,0.2453,0.3749,0.6924,0.9919,0.2611,0.1887,0.33,0.7299,0.9005,0.358,0.1335,0.3945,0.647,0.8518,0.4425,0.2444,0.4053,0.7358,0.77,0.5573,0.3894,0.4237,0.6522,0.9604
volume_4_dochian_low_5,Annualized Return,0.1645,0.1062,0.097,0.0783,0.2637,0.1593,0.1059,0.114,0.0646,0.0253,0.1489,0.1121,0.0925,0.0756,0.0529,0.1633,0.138,0.0857,0.0807,0.1146,0.2069,0.1967,0.2133,0.1753,0.2103
volume_4_dochian_low_5,Annualized Std Dev,0.2121,0.2214,0.2296,0.2591,1.7061,0.1836,0.1851,0.2086,0.2326,0.3077,0.2089,0.1803,0.2,0.2399,0.295,0.185,0.1804,0.205,0.2291,0.3162,0.2047,0.2051,0.7895,0.3551,0.5153
volume_4_dochian_low_5,Annualized Sharpe (Rf=0%),0.7754,0.4798,0.4225,0.3022,0.1546,0.8675,0.5721,0.5465,0.2777,0.0824,0.7131,0.6216,0.4626,0.3152,0.1794,0.8827,0.7653,0.418,0.3522,0.3622,1.0111,0.9591,0.2702,0.4937,0.4081
volume_4_dochian_low_10,Annualized Return,0.1747,0.091,0.0814,0.1656,0.1593,0.124,0.1099,0.1073,0.0812,0.0538,0.1186,0.1093,0.1002,0.0702,0.0877,0.1657,0.1163,0.0957,0.0979,0.0963,0.1899,0.2924,0.1577,0.1731,0.1971
volume_4_dochian_low_10,Annualized Std Dev,0.2176,0.2036,0.219,1.4668,0.4596,0.1755,0.19,0.2067,0.234,0.2946,0.1702,0.1802,0.2001,0.243,0.3222,0.1936,0.1848,0.2028,0.2428,0.2958,0.1935,0.6826,0.2697,0.2855,0.5755
volume_4_dochian_low_10,Annualized Sharpe (Rf=0%),0.8029,0.447,0.3718,0.1129,0.3466,0.7062,0.5786,0.5188,0.3471,0.1827,0.6969,0.6068,0.5009,0.289,0.2722,0.8559,0.6293,0.472,0.4033,0.3257,0.9815,0.4284,0.5846,0.6064,0.3425
volume_4_rsi_264,Annualized Return,0.2863,0.0454,0.125,0.1006,0.1666,0.1005,0.0456,0.0695,0.1182,0.1242,0.1184,0.0667,0.0761,0.0974,0.1195,0.132,0.1022,0.0882,0.0937,0.1155,0.3815,0.1784,0.1089,0.137,0.1273
volume_4_rsi_264,Annualized Std Dev,1.4258,0.2666,0.2227,0.193,0.1828,0.3282,0.2723,0.2117,0.1744,0.1573,0.359,0.2544,0.2037,0.1696,0.1469,0.3505,0.2631,0.2132,0.1745,0.1459,0.8858,0.3916,0.2137,0.193,0.172
volume_4_rsi_264,Annualized Sharpe (Rf=0%),0.2008,0.1702,0.5615,0.5211,0.9114,0.3063,0.1674,0.3284,0.6777,0.7898,0.3298,0.2624,0.3738,0.5744,0.814,0.3767,0.3883,0.4139,0.537,0.7915,0.4307,0.4557,0.5097,0.7098,0.7399
adx_dip_66_sharpe_132,Annualized Return,0.3043,0.1409,0.1438,0.0708,0.1036,0.0962,0.1184,0.1088,0.0967,0.1439,0.1517,0.0788,0.0876,0.1031,0.1517,0.0176,0.0681,0.1662,0.1217,0.1314,0.0636,0.0895,0.0802,0.1314,0.1201
adx_dip_66_sharpe_132,Annualized Std Dev,0.7724,0.2753,0.2175,0.2004,0.2282,0.3971,0.2693,0.2094,0.1876,0.1921,0.6721,0.2606,0.2222,0.1924,0.1786,0.3452,0.2448,0.4026,0.1953,0.1798,0.344,0.2646,0.2291,0.1961,0.1654
adx_dip_66_sharpe_132,Annualized Sharpe (Rf=0%),0.3939,0.5118,0.6613,0.3533,0.454,0.2422,0.4397,0.5198,0.5154,0.7492,0.2257,0.3024,0.3942,0.5359,0.8491,0.051,0.278,0.4128,0.623,0.7307,0.1848,0.3384,0.3499,0.67,0.7264
adx_dip_66_bbands_dn_5,Annualized Return,0.2223,0.1353,0.1257,0.1583,0.2599,0.1287,0.097,0.1195,0.1143,0.0903,0.1398,0.1464,0.1154,0.1234,0.0447,0.1289,0.1225,0.1048,0.0888,0.1399,0.1097,0.1109,0.1026,0.1209,0.0899
adx_dip_66_bbands_dn_5,Annualized Std Dev,0.4505,0.2331,0.2652,0.3662,1.5157,0.1888,0.2042,0.2313,0.2732,0.4757,0.1658,0.2098,0.2258,0.5152,0.3152,0.1647,0.1796,0.199,0.2295,0.411,0.1359,0.1588,0.1774,0.2293,0.2599
adx_dip_66_bbands_dn_5,Annualized Sharpe (Rf=0%),0.4934,0.5807,0.4741,0.4323,0.1715,0.6818,0.4751,0.5165,0.4182,0.1897,0.8432,0.6979,0.5111,0.2396,0.1417,0.7826,0.682,0.5265,0.3867,0.3405,0.8072,0.6985,0.5784,0.527,0.346
adx_dip_66_bbands_pctB_10,Annualized Return,0.462,0.1361,0.0831,0.0751,0.0554,0.1722,0.1645,0.1019,0.0405,0.0665,0.2493,0.1071,0.0943,0.0996,0.0333,0.1809,0.1216,0.124,0.0907,0.082,0.2082,0.0923,0.1365,0.1137,0.0348
adx_dip_66_bbands_pctB_10,Annualized Std Dev,1.1747,0.2769,0.2928,0.2631,0.2799,0.275,0.41,0.2464,0.234,0.2327,0.5124,0.2348,0.2271,0.2304,0.2103,0.2472,0.2171,0.2149,0.2045,0.3075,0.2582,0.2185,0.2182,0.1934,0.1724
