predictor,rn,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
sharpe_132_dochian_low_5,Annualized Sharpe (Rf=0%),0.6314,0.4656,0.3289,0.2086,0.2358,0.9247,0.5476,0.3775,0.2625,0.1754,0.9463,0.5867,0.5144,0.3674,0.1818,0.8871,0.7122,0.4792,0.4782,0.3669,1.0345,0.959,0.6646,0.567,0.4692
sharpe_132_dochian_low_10,Annualized Return,0.1775,0.1987,0.0793,0.1884,0.2738,0.1777,0.1223,0.1101,0.0949,0.0395,0.1793,0.105,0.1081,0.0757,0.1049,0.119,0.1181,0.1064,0.0998,0.1087,0.1374,0.1352,0.1281,0.118,0.1108
sharpe_132_dochian_low_10,Annualized Std Dev,0.268,0.5173,0.2956,1.6492,0.9412,0.2289,0.209,0.2578,0.319,0.3272,0.1897,0.1895,0.2068,0.2401,0.4542,0.1546,0.1695,0.1868,0.2035,0.2889,0.1257,0.1553,0.167,0.1913,0.2493
sharpe_132_dochian_low_10,Annualized Sharpe (Rf=0%),0.6622,0.384,0.2683,0.1142,0.2908,0.7763,0.5851,0.427,0.2974,0.1209,0.9449,0.5541,0.5224,0.3154,0.2311,0.7696,0.697,0.5695,0.4904,0.3764,1.0933,0.8711,0.7668,0.6169,0.4442
sharpe_132_rsi_264,Annualized Return,0.3338,0.0673,0.1342,0.0339,0.0222,0.1448,0.0973,0.0911,0.1271,0.1026,0.1377,0.1239,0.0904,0.1005,0.1304,0.0585,0.0431,0.0751,0.1232,0.1301,-0.0087,0.0768,0.0962,0.0965,0.1351
sharpe_132_rsi_264,Annualized Std Dev,0.749,0.282,0.2632,0.2734,0.2217,0.3675,0.2668,0.2097,0.2309,0.328,0.3856,0.3512,0.2057,0.1795,0.1882,0.4444,0.2776,0.2106,0.1734,0.1652,0.5145,0.3381,0.2381,0.1856,0.1502
sharpe_132_rsi_264,Annualized Sharpe (Rf=0%),0.4457,0.2387,0.5098,0.124,0.0999,0.394,0.3646,0.4342,0.5502,0.3129,0.3571,0.3527,0.4393,0.5599,0.6932,0.1316,0.1554,0.3565,0.7106,0.7873,-0.0168,0.227,0.404,0.52,0.8992
bbands_dn_5_bbands_pctB_10,Annualized Return,0.2262,0.1163,0.1344,0.0891,-0.0215,0.1515,0.1307,0.1211,0.0954,0.0589,0.1912,0.1082,0.1154,0.0915,0.0757,0.4499,0.1198,0.0923,0.0687,0.0555,0.594,0.1924,0.0853,0.095,0.0669
bbands_dn_5_bbands_pctB_10,Annualized Std Dev,0.2706,0.1679,0.222,0.1364,0.1832,0.237,0.2076,0.1864,0.1623,0.133,0.2955,0.2525,0.2133,0.1908,0.1581,1.2284,0.3142,0.3116,0.2319,0.18,3.5316,0.7655,0.3623,0.3407,0.2975
bbands_dn_5_bbands_pctB_10,Annualized Sharpe (Rf=0%),0.836,0.693,0.6053,0.6536,-0.1173,0.6393,0.6297,0.6497,0.5876,0.4426,0.6472,0.4286,0.5408,0.4799,0.4785,0.3663,0.3812,0.2962,0.2962,0.3082,0.1682,0.2514,0.2355,0.2789,0.2248
bbands_dn_5_bbands_dn_66,Annualized Return,0.1589,0.1182,0.1365,0.1595,0.2124,0.1145,0.1052,0.1208,0.122,0.1621,0.1074,0.1132,0.1039,0.1001,0.1547,0.1649,0.0903,0.0807,0.0769,0.1975,0.325,0.0342,0.0847,0.0502,0.22
bbands_dn_5_bbands_dn_66,Annualized Std Dev,0.2518,0.1586,0.1821,0.208,0.296,0.1892,0.1683,0.2075,0.2124,0.2741,0.2216,0.1899,0.2041,0.2194,0.2881,0.3033,0.2523,0.2141,0.255,0.5742,1.6796,0.2927,0.2671,0.2602,0.8912
bbands_dn_5_bbands_dn_66,Annualized Sharpe (Rf=0%),0.6309,0.7454,0.7497,0.7672,0.7177,0.6052,0.6248,0.5821,0.5744,0.5913,0.4849,0.5958,0.5091,0.4564,0.5372,0.5438,0.3581,0.3767,0.3015,0.3439,0.1935,0.1168,0.3169,0.193,0.2469
bbands_dn_5_keltnerchannels_dn_5,Annualized Return,0.1133,0.1395,0.1242,0.1927,0.4788,0.0984,0.1217,0.1097,0.1467,0.1807,0.0964,0.1074,0.1194,0.0914,0.1524,0.0636,0.0664,0.133,0.0953,0.1732,0.0036,0.004,0.0364,0.0625,0.2254
bbands_dn_5_keltnerchannels_dn_5,Annualized Std Dev,0.1179,0.1837,0.2459,0.4091,1.6437,0.1373,0.1706,0.2202,0.3185,0.8264,0.1474,0.1644,0.21,0.2832,0.4513,0.2438,0.1731,0.3423,0.2559,0.4525,0.5488,0.3155,0.2073,0.223,0.6862
bbands_dn_5_keltnerchannels_dn_5,Annualized Sharpe (Rf=0%),0.9609,0.7591,0.5049,0.471,0.2913,0.7169,0.7136,0.498,0.4606,0.2187,0.6539,0.6533,0.5688,0.3227,0.3377,0.2611,0.3837,0.3884,0.3723,0.3828,0.0065,0.0126,0.1754,0.2803,0.3285
bbands_dn_5_rsi_22,Annualized Return,0.2393,0.1366,0.1578,0.1061,0.0889,0.1526,0.1153,0.1173,0.1253,0.0953,0.1246,0.1387,0.1225,0.0989,0.0763,0.2496,0.1236,0.1016,0.0842,0.0559,0.4559,0.1121,0.0399,0.0253,0.0573
bbands_dn_5_rsi_22,Annualized Std Dev,0.3514,0.1841,0.1963,0.1496,0.1194,0.2664,0.2081,0.1796,0.1757,0.1477,0.3028,0.2425,0.2071,0.1917,0.1664,0.6304,0.2997,0.2521,0.2268,0.1858,1.64,0.4824,0.3217,0.2809,0.234
bbands_dn_5_rsi_22,Annualized Sharpe (Rf=0%),0.681,0.7419,0.804,0.7091,0.7445,0.5729,0.5542,0.653,0.7129,0.6451,0.4116,0.5722,0.5913,0.5158,0.4583,0.3959,0.4125,0.403,0.3713,0.3011,0.278,0.2323,0.124,0.0902,0.2449
bbands_dn_5_close_ath,Annualized Return,0.2747,0.1213,0.1096,0.1546,0.1184,0.1667,0.1008,0.1026,0.1284,0.12,0.1312,0.1005,0.1058,0.1152,0.1096,0.2341,0.0618,0.0924,0.0975,0.1035,0.3279,0.0255,0.0139,0.0856,0.0949
bbands_dn_5_close_ath,Annualized Std Dev,0.5986,0.2285,0.1859,0.1525,0.1039,0.3737,0.2573,0.2046,0.171,0.1303,0.3321,0.2906,0.2191,0.181,0.1425,0.6171,0.3054,0.2461,0.1937,0.1545,1.1845,0.3118,0.2581,0.2243,0.1769
bbands_dn_5_close_ath,Annualized Sharpe (Rf=0%),0.4589,0.5307,0.5897,1.0132,1.1392,0.4461,0.3916,0.5015,0.7507,0.9211,0.3951,0.3457,0.4827,0.6361,0.7689,0.3794,0.2022,0.3755,0.5035,0.6699,0.2768,0.0818,0.0537,0.3816,0.5367
bbands_dn_5_dochian_low_5,Annualized Return,0.1418,0.1496,0.0941,0.074,0.1379,0.1642,0.1109,0.0918,0.151,0.033,0.1448,0.1194,0.0977,0.11,0.1661,0.6621,0.1191,0.1629,0.0708,0.1093,0.1454,0.0226,0.1022,0.1236,0.1823
bbands_dn_5_dochian_low_5,Annualized Std Dev,0.1477,0.1812,0.2407,0.3554,5.4538,0.1845,0.172,0.213,0.2967,0.961,0.32,0.1979,0.1941,0.2462,0.6367,2.4289,0.4651,0.4359,0.2283,0.3315,0.7509,0.6096,0.6046,0.3587,0.5528
bbands_dn_5_dochian_low_5,Annualized Sharpe (Rf=0%),0.9597,0.8256,0.3908,0.2083,0.0253,0.8899,0.6449,0.4308,0.5088,0.0343,0.4526,0.6035,0.5034,0.4469,0.2609,0.2726,0.256,0.3738,0.31,0.3298,0.1936,0.0371,0.1691,0.3446,0.3297
bbands_dn_5_dochian_low_10,Annualized Return,0.1425,0.1644,0.1032,0.0239,0.2552,0.1335,0.1154,0.1193,0.0918,0.1425,0.1276,0.1021,0.1124,0.0876,0.1628,0.4932,0.1944,0.0953,0.0829,0.104,0.19,-0.0227,0.0301,0.2313,0.1221
bbands_dn_5_dochian_low_10,Annualized Std Dev,0.144,0.1823,0.2021,0.23,3.9262,0.1789,0.1727,0.1988,0.2474,0.4933,0.2556,0.1952,0.1982,0.2309,0.349,2.402,1.0563,0.2454,0.2409,0.3107,0.6733,0.9736,0.3615,1.2149,0.3886
bbands_dn_5_dochian_low_10,Annualized Sharpe (Rf=0%),0.99,0.9018,0.5107,0.1041,0.065,0.746,0.6683,0.6003,0.371,0.2888,0.4992,0.523,0.567,0.3793,0.4665,0.2053,0.1841,0.3882,0.3442,0.3348,0.2822,-0.0234,0.0833,0.1904,0.3143
bbands_dn_5_rsi_264,Annualized Return,0.2401,0.1253,0.1443,0.1335,0.1341,0.1379,0.1118,0.1148,0.1128,0.1281,0.1363,0.0722,0.1035,0.1188,0.1184,0.2293,0.0763,0.0795,0.0828,0.1241,0.2984,0.0489,0.0081,0.0794,0.13
bbands_dn_5_rsi_264,Annualized Std Dev,0.5618,0.2214,0.1758,0.1488,0.114,0.3554,0.2351,0.1918,0.1618,0.1434,0.3231,0.2674,0.2118,0.1837,0.156,0.634,0.3001,0.2384,0.2009,0.1875,1.1101,0.4221,0.2628,0.2467,0.2376
bbands_dn_5_rsi_264,Annualized Sharpe (Rf=0%),0.4274,0.5662,0.8205,0.8969,1.1764,0.3882,0.4754,0.5985,0.6974,0.8929,0.4219,0.2699,0.4886,0.6467,0.759,0.3616,0.2541,0.3336,0.4119,0.6619,0.2688,0.1159,0.031,0.3218,0.5471
bbands_pctB_10_bbands_dn_66,Annualized Return,0.2658,0.1522,0.1952,0.1936,0.6006,0.156,0.0937,0.1031,0.1353,0.156,0.0991,0.1173,0.1035,0.1014,0.1323,0.0713,0.0774,0.0886,0.0554,0.127,-0.0633,0.0607,0.0718,0.0405,0.0872
bbands_pctB_10_bbands_dn_66,Annualized Std Dev,0.4833,0.2243,0.2727,0.3283,2.5415,0.3211,0.2035,0.2331,0.2545,0.3645,0.1842,0.2259,0.2065,0.2347,0.36,0.224,0.1671,0.1948,0.2216,0.3194,0.2767,0.16,0.1695,0.1928,0.4143
bbands_pctB_10_bbands_dn_66,Annualized Sharpe (Rf=0%),0.5499,0.6785,0.7159,0.5897,0.2363,0.4859,0.4605,0.4424,0.5315,0.428,0.538,0.519,0.5013,0.432,0.3676,0.3183,0.4634,0.4549,0.2498,0.3977,-0.2289,0.379,0.4235,0.2102,0.2103
bbands_pctB_10_keltnerchannels_dn_5,Annualized Return,0.1366,0.1559,0.1905,0.2201,0.8553,0.1059,0.1226,0.1258,0.0806,0.1537,0.0882,0.1102,0.1275,0.0895,0.1065,0.0754,0.0905,0.0922,0.0792,0.0789,0.048,0.0628,0.0673,0.0691,0.0641
bbands_pctB_10_keltnerchannels_dn_5,Annualized Std Dev,0.1508,0.2087,0.7371,0.3956,2.4388,0.1414,0.1871,0.235,0.2914,0.6541,0.125,0.1689,0.2114,0.2938,0.4159,0.1045,0.1496,0.1912,0.2431,0.3915,0.0922,0.1274,0.16,0.1974,0.4389
bbands_pctB_10_keltnerchannels_dn_5,Annualized Sharpe (Rf=0%),0.906,0.747,0.2584,0.5564,0.3507,0.749,0.6551,0.5354,0.2765,0.2349,0.7058,0.6521,0.6033,0.3046,0.2562,0.7218,0.6048,0.4821,0.3256,0.2015,0.5209,0.4928,0.4207,0.3502,0.1461
bbands_pctB_10_rsi_22,Annualized Return,0.458,0.1793,0.2124,0.1455,0.0897,0.1897,0.1205,0.1015,0.1054,0.1317,0.057,0.1266,0.1143,0.1243,0.0911,0.0045,0.0768,0.0899,0.0911,0.0932,0.0441,0.106,0.0466,0.0305,0.042
bbands_pctB_10_rsi_22,Annualized Std Dev,0.8632,0.2465,0.2364,0.2146,0.304,0.3736,0.2442,0.2125,0.2098,0.2224,0.281,0.2677,0.2258,0.2057,0.1888,0.3419,0.2633,0.2256,0.1999,0.1914,0.8248,0.7846,0.2506,0.2021,0.1707
bbands_pctB_10_rsi_22,Annualized Sharpe (Rf=0%),0.5306,0.7276,0.8987,0.678,0.2951,0.5078,0.4933,0.4773,0.5027,0.592,0.2027,0.4728,0.5062,0.6043,0.4824,0.0131,0.2919,0.3985,0.4555,0.4868,0.0535,0.1351,0.1859,0.151,0.2458
bbands_pctB_10_close_ath,Annualized Return,0.6993,0.1258,0.1082,0.1746,0.1495,0.1806,0.0622,0.0929,0.142,0.1261,0.1015,0.0856,0.0953,0.1258,0.1234,0.0793,0.0572,0.0658,0.1007,0.1156,0.0697,0.021,0.0563,0.0646,0.0823
bbands_pctB_10_close_ath,Annualized Std Dev,1.3616,0.2987,0.2284,0.1762,0.1269,0.5074,0.2902,0.2274,0.1813,0.1387,0.3649,0.3023,0.2352,0.18,0.1358,0.3537,0.2961,0.221,0.1763,0.135,0.7347,0.2484,0.2035,0.1728,0.1238
bbands_pctB_10_close_ath,Annualized Sharpe (Rf=0%),0.5136,0.4211,0.4738,0.9908,1.1784,0.3559,0.2143,0.4083,0.7832,0.9091,0.2781,0.2833,0.405,0.6988,0.9093,0.2243,0.1931,0.2976,0.5711,0.8569,0.0949,0.0846,0.2766,0.3735,0.6644
bbands_pctB_10_dochian_low_5,Annualized Return,0.2204,0.1568,0.1977,0.2698,0.9141,0.1172,0.1386,0.1153,0.0486,0.1792,0.1484,0.1197,0.107,0.0996,0.0762,0.0702,0.0775,0.0914,0.0784,0.0837,0.0368,0.0515,0.0558,0.0488,0.0718
bbands_pctB_10_dochian_low_5,Annualized Std Dev,0.2075,0.2468,0.6743,0.6167,5.8975,0.1814,0.2029,0.253,0.2953,0.8312,0.2637,0.1846,0.2156,0.2884,0.3549,0.1348,0.1429,0.1803,0.2236,0.3327,0.0847,0.1205,0.1429,0.1777,0.3366
bbands_pctB_10_dochian_low_5,Annualized Sharpe (Rf=0%),1.0623,0.6355,0.2932,0.4375,0.155,0.6461,0.6831,0.4556,0.1645,0.2155,0.5629,0.6485,0.4961,0.3454,0.2147,0.5205,0.5421,0.507,0.3505,0.2516,0.4346,0.4269,0.3903,0.2748,0.2133
bbands_pctB_10_dochian_low_10,Annualized Return,0.1944,0.2464,0.1896,0.6503,0.5285,0.1149,0.1274,0.1083,0.0509,0.2033,0.0779,0.1039,0.1234,0.0727,0.12,0.055,0.0662,0.0821,0.0691,0.0932,0.0338,0.0493,0.0589,0.0609,0.0652
bbands_pctB_10_dochian_low_10,Annualized Std Dev,0.2037,0.5011,0.3483,4.4547,3.421,0.1665,0.2046,0.2524,0.3426,1.7623,0.1295,0.1629,0.2259,0.2559,0.4038,0.1155,0.1439,0.1716,0.2162,0.3196,0.0865,0.1192,0.1472,0.1888,0.3312
bbands_pctB_10_dochian_low_10,Annualized Sharpe (Rf=0%),0.9546,0.4917,0.5443,0.146,0.1545,0.69,0.6227,0.4292,0.1486,0.1154,0.6014,0.6381,0.5462,0.2841,0.2971,0.4758,0.4598,0.4785,0.3193,0.2917,0.3907,0.4134,0.4003,0.3224,0.1969
bbands_pctB_10_rsi_264,Annualized Return,0.6038,0.1696,0.1474,0.1581,0.159,0.1784,0.0923,0.0982,0.1145,0.1372,0.1067,0.0677,0.1011,0.1116,0.1442,0.0794,0.0303,0.0689,0.0846,0.1436,-0.0095,0.0647,0.0458,0.0855,0.0768
bbands_pctB_10_rsi_264,Annualized Std Dev,1.327,0.2822,0.2205,0.1889,0.1658,0.4831,0.2662,0.2202,0.182,0.1676,0.3584,0.281,0.2165,0.1808,0.1775,0.3601,0.2593,0.2094,0.1759,0.1694,0.3459,0.5317,0.2041,0.1883,0.1443
bbands_pctB_10_rsi_264,Annualized Sharpe (Rf=0%),0.455,0.6012,0.6687,0.8372,0.9587,0.3694,0.3468,0.4461,0.6291,0.8185,0.2977,0.2411,0.4669,0.6173,0.8124,0.2205,0.1168,0.329,0.4809,0.8475,-0.0276,0.1216,0.2244,0.454,0.5322
bbands_dn_66_keltnerchannels_dn_5,Annualized Return,0.1008,0.1089,0.106,0.1618,0.571,0.1034,0.1107,0.1096,0.0555,0.1403,0.1099,0.1103,0.097,0.0923,0.155,0.1269,0.109,0.1008,0.0905,0.0525,0.0901,0.1469,0.2306,0.1347,0.2334
bbands_dn_66_keltnerchannels_dn_5,Annualized Std Dev,0.1386,0.1893,0.2251,0.3472,2.5104,0.1322,0.1668,0.2122,0.272,0.5142,0.1359,0.1687,0.202,0.2517,0.4355,0.1484,0.1677,0.2052,0.2429,0.3434,0.2642,0.1869,0.9932,0.2817,0.7769
bbands_dn_66_keltnerchannels_dn_5,Annualized Sharpe (Rf=0%),0.727,0.5751,0.4708,0.4661,0.2274,0.7819,0.6635,0.5164,0.2041,0.2728,0.8086,0.6536,0.4802,0.3667,0.3559,0.8556,0.6499,0.4912,0.3725,0.1529,0.3411,0.7859,0.2321,0.4783,0.3004
bbands_dn_66_rsi_22,Annualized Return,0.2693,0.1238,0.0924,0.0305,-0.2072,0.108,0.1176,0.1027,0.0818,0.0739,0.1479,0.1245,0.1027,0.1027,0.0707,0.1001,0.0841,0.1031,0.0802,0.0761,0.5442,0.1287,0.1236,0.0858,0.0854
bbands_dn_66_rsi_22,Annualized Std Dev,0.4705,0.1736,0.175,0.1977,0.3786,0.2726,0.2244,0.1703,0.1438,0.1041,0.3608,0.2702,0.2115,0.1704,0.1225,0.4349,0.3292,0.2678,0.2103,0.1512,2.8648,0.5852,0.3668,0.321,0.2316
bbands_dn_66_rsi_22,Annualized Sharpe (Rf=0%),0.5723,0.7128,0.5283,0.1543,-0.5473,0.3963,0.5239,0.6034,0.569,0.71,0.41,0.4606,0.4857,0.6028,0.5775,0.2301,0.2556,0.3848,0.3811,0.5033,0.19,0.2199,0.337,0.2673,0.3688
bbands_dn_66_close_ath,Annualized Return,0.4865,0.0713,0.099,0.15,0.1018,0.1247,0.095,0.0826,0.1258,0.1044,0.1491,0.0812,0.1007,0.1005,0.1127,0.1545,0.0079,0.0761,0.0931,0.1171,0.3215,0.0964,0.0593,0.1638,0.1822
bbands_dn_66_close_ath,Annualized Std Dev,1.4252,0.2729,0.2081,0.164,0.1042,0.3268,0.2854,0.2133,0.1666,0.1249,0.3452,0.2695,0.2174,0.1785,0.137,0.3495,0.2778,0.2293,0.1932,0.1435,1.1448,0.3085,0.2597,0.2395,0.192
bbands_dn_66_close_ath,Annualized Sharpe (Rf=0%),0.3413,0.2614,0.4758,0.9148,0.9764,0.3816,0.333,0.3874,0.7551,0.836,0.4319,0.3014,0.4631,0.5634,0.8229,0.4419,0.0285,0.332,0.4819,0.8159,0.2808,0.3123,0.2281,0.6838,0.949
bbands_dn_66_dochian_low_5,Annualized Return,0.1576,0.1213,0.1202,0.1057,0.4534,0.1352,0.1128,0.0961,0.0767,0.0294,0.1519,0.1256,0.0753,0.0896,0.1168,0.2154,0.1318,0.0899,0.0682,0.0546,0.2364,0.1895,0.2387,0.1379,0.2074
bbands_dn_66_dochian_low_5,Annualized Std Dev,0.1742,0.1976,0.2269,0.3611,3.3022,0.1694,0.1668,0.1882,0.2429,0.286,0.1872,0.1832,0.1958,0.2209,0.3057,0.2953,0.2062,0.2138,0.232,0.2614,0.3334,0.316,0.7233,0.3005,0.8574
bbands_dn_66_dochian_low_5,Annualized Sharpe (Rf=0%),0.9049,0.614,0.53,0.2926,0.1373,0.7983,0.6766,0.5108,0.3157,0.1027,0.8115,0.6857,0.3847,0.4055,0.3821,0.7295,0.6389,0.4206,0.2938,0.2088,0.7091,0.5997,0.33,0.4589,0.2419
bbands_dn_66_dochian_low_10,Annualized Return,0.1449,0.1389,0.0818,0.1752,0.4096,0.1302,0.1057,0.0988,0.0666,0.0844,0.1791,0.1072,0.0799,0.0658,0.1738,0.1441,0.1362,0.0979,0.0661,0.0713,0.2056,0.2923,0.2198,0.2738,0.1114
bbands_dn_66_dochian_low_10,Annualized Std Dev,0.1779,0.2315,0.2191,0.3275,4.4493,0.1694,0.1709,0.2075,0.2156,0.3672,0.1959,0.1863,0.1906,0.2239,0.3288,0.2704,0.2122,0.2104,0.2327,0.2613,0.3164,0.9606,0.2956,1.4989,0.3561
bbands_dn_66_dochian_low_10,Annualized Sharpe (Rf=0%),0.8145,0.6003,0.3734,0.5351,0.0921,0.7683,0.6187,0.4763,0.309,0.2299,0.9145,0.5754,0.4193,0.294,0.5285,0.5328,0.642,0.4653,0.2842,0.2727,0.65,0.3043,0.7436,0.1827,0.3127
bbands_dn_66_rsi_264,Annualized Return,0.4025,0.1214,0.1306,0.1213,0.0826,0.0867,0.1113,0.0863,0.1169,0.1111,0.1239,0.0874,0.1029,0.0988,0.113,0.0924,0.0246,0.0881,0.091,0.1113,0.3465,0.0707,0.0247,0.1059,0.2119
bbands_dn_66_rsi_264,Annualized Std Dev,1.2153,0.2316,0.1881,0.1604,0.1773,0.2926,0.2603,0.1882,0.1576,0.1302,0.3286,0.2566,0.2102,0.1774,0.1437,0.3453,0.2821,0.2328,0.2026,0.1562,1.334,0.4368,0.2825,0.2588,0.2556
bbands_dn_66_rsi_264,Annualized Sharpe (Rf=0%),0.3312,0.5241,0.6944,0.7562,0.4657,0.2964,0.4274,0.4584,0.7418,0.8532,0.3771,0.3406,0.4894,0.5568,0.7867,0.2677,0.0873,0.3786,0.449,0.7122,0.2597,0.1619,0.0874,0.4091,0.8288
keltnerchannels_dn_5_rsi_22,Annualized Return,0.1226,0.1175,0.1158,0.0945,0.0632,0.0988,0.1429,0.124,0.1091,0.0849,0.1424,0.1252,0.1269,0.1184,0.0682,0.142,0.0904,0.1065,0.0838,0.0761,0.6077,0.1491,0.0565,0.0274,0.0528
keltnerchannels_dn_5_rsi_22,Annualized Std Dev,0.1696,0.1448,0.1347,0.121,0.0932,0.2164,0.1862,0.1722,0.1592,0.1328,0.5616,0.2339,0.2128,0.1906,0.1607,0.3519,0.3023,0.2873,0.2368,0.1903,1.4005,0.5163,0.3673,0.3559,0.2939
keltnerchannels_dn_5_rsi_22,Annualized Sharpe (Rf=0%),0.7233,0.8116,0.8603,0.7807,0.6774,0.4566,0.7674,0.72,0.6851,0.6391,0.2536,0.5351,0.5964,0.6213,0.4242,0.4036,0.2991,0.3706,0.3539,0.3999,0.4339,0.2887,0.1538,0.0769,0.1795
keltnerchannels_dn_5_close_ath,Annualized Return,0.0817,0.0711,0.0984,0.127,0.1044,0.069,0.1076,0.1089,0.1273,0.1186,0.1707,0.0956,0.1018,0.1239,0.1102,0.1693,0.0548,0.0805,0.1006,0.1069,0.3794,0.0483,0.0153,0.1633,0.0272
keltnerchannels_dn_5_close_ath,Annualized Std Dev,0.2581,0.1813,0.1676,0.1445,0.1038,0.2608,0.2252,0.1977,0.1693,0.1376,1.0399,0.2564,0.2267,0.187,0.1582,0.3351,0.287,0.247,0.2239,0.1858,0.898,0.3477,0.349,0.3316,0.304
keltnerchannels_dn_5_close_ath,Annualized Sharpe (Rf=0%),0.3164,0.392,0.5871,0.879,1.0056,0.2644,0.478,0.5508,0.7522,0.8616,0.1641,0.3728,0.4491,0.6626,0.6967,0.5052,0.1908,0.3259,0.4494,0.5751,0.4224,0.1389,0.0438,0.4926,0.0895
keltnerchannels_dn_5_dochian_low_5,Annualized Return,0.1137,0.0978,0.0801,-0.1239,-0.3283,0.1544,0.1203,0.0898,0.0604,0.0583,0.1411,0.1326,0.1404,0.0953,0.0339,0.3986,0.1115,0.0805,0.0725,0.0839,0.389,0.2487,0.2102,0.1623,0.2312
keltnerchannels_dn_5_dochian_low_5,Annualized Std Dev,0.1258,0.1358,0.1436,0.2754,0.8945,0.2023,0.1716,0.1598,0.1518,0.2283,0.2632,0.2336,0.3604,0.1845,0.212,0.5736,0.35,0.2951,0.2452,0.2186,0.7954,0.6828,0.5168,0.4784,0.6539
keltnerchannels_dn_5_dochian_low_5,Annualized Sharpe (Rf=0%),0.9031,0.7201,0.5578,-0.4499,-0.367,0.7634,0.7013,0.5618,0.3976,0.2552,0.5362,0.5675,0.3894,0.5168,0.1599,0.6949,0.3186,0.2727,0.2956,0.3837,0.4891,0.3643,0.4067,0.3393,0.3536
keltnerchannels_dn_5_dochian_low_10,Annualized Return,0.1141,0.0971,0.1025,-0.0532,-0.3663,0.1517,0.119,0.0963,0.0768,0.0419,0.1171,0.1792,0.1018,0.1058,0.049,0.2983,0.1146,0.1002,0.0718,0.1073,0.3112,0.225,0.1572,0.2641,0.1662
keltnerchannels_dn_5_dochian_low_10,Annualized Std Dev,0.1262,0.136,0.1365,0.2288,0.7506,0.2031,0.1713,0.159,0.158,0.2103,0.2647,0.5259,0.1997,0.1924,0.2051,0.4402,0.3216,0.2873,0.2458,0.2427,0.9443,1.1372,0.4782,1.2943,0.448
keltnerchannels_dn_5_dochian_low_10,Annualized Sharpe (Rf=0%),0.9045,0.7141,0.7511,-0.2325,-0.488,0.7469,0.6946,0.606,0.4861,0.1992,0.4424,0.3407,0.5098,0.5498,0.2386,0.6775,0.3564,0.3487,0.292,0.4421,0.3296,0.1979,0.3288,0.204,0.3711
keltnerchannels_dn_5_rsi_264,Annualized Return,0.0426,0.104,0.1114,0.1055,0.1049,0.0713,0.1032,0.1134,0.1278,0.1244,0.1244,0.0885,0.1061,0.1235,0.125,0.1449,0.068,0.0806,0.0884,0.1142,0.3894,0.0798,0.0175,0.065,0.1834
keltnerchannels_dn_5_rsi_264,Annualized Std Dev,0.2092,0.1756,0.1505,0.1312,0.0994,0.2285,0.2095,0.1862,0.1612,0.1395,0.5782,0.2399,0.2154,0.1925,0.1665,0.3531,0.2898,0.2492,0.2222,0.2048,0.9409,0.4873,0.3134,0.3321,0.3471
keltnerchannels_dn_5_rsi_264,Annualized Sharpe (Rf=0%),0.2037,0.5922,0.7403,0.8045,1.0558,0.3119,0.4925,0.6089,0.7928,0.8919,0.2152,0.3687,0.4927,0.6415,0.7507,0.4104,0.2345,0.3234,0.3976,0.5575,0.4138,0.1637,0.0558,0.1957,0.5285
rsi_22_close_ath,Annualized Return,0.6038,0.0754,0.0836,0.1727,0.1448,0.2041,0.0968,0.0951,0.1402,0.1325,0.1308,0.0618,0.0985,0.1239,0.132,0.0655,0.03,0.0837,0.106,0.1213,0.0159,0.0856,0.0554,0.0845,0.1055
rsi_22_close_ath,Annualized Std Dev,1.1746,0.3204,0.2404,0.1768,0.1277,0.483,0.2997,0.239,0.1819,0.1363,0.3521,0.2751,0.2267,0.1817,0.1359,0.3248,0.2572,0.2174,0.1811,0.1378,0.2996,0.2588,0.1893,0.167,0.1249
rsi_22_close_ath,Annualized Sharpe (Rf=0%),0.5141,0.2352,0.348,0.9771,1.1337,0.4225,0.323,0.3977,0.7708,0.9724,0.3715,0.2247,0.4345,0.6819,0.9715,0.2017,0.1168,0.3849,0.5856,0.8804,0.0529,0.3306,0.2929,0.5061,0.8446
rsi_22_dochian_low_5,Annualized Return,0.2392,0.1313,0.2047,0.085,0.5926,0.1539,0.1426,0.0988,0.1392,0.0743,0.1821,0.1238,0.0891,0.1074,0.0437,0.1191,0.1284,0.0965,0.0808,0.0283,0.0927,0.0907,0.0709,0.0554,0.0653
rsi_22_dochian_low_5,Annualized Std Dev,0.2613,0.2613,0.5181,0.3829,1.9964,0.1942,0.196,0.2432,0.3371,0.4793,0.2046,0.1861,0.21,0.245,0.3229,0.153,0.1702,0.1923,0.2125,0.2866,0.1132,0.138,0.153,0.1806,0.2483
rsi_22_dochian_low_5,Annualized Sharpe (Rf=0%),0.9153,0.5023,0.3951,0.222,0.2968,0.7923,0.7277,0.4065,0.4129,0.155,0.8897,0.6649,0.4242,0.4384,0.1354,0.7782,0.7548,0.5021,0.3801,0.0986,0.8191,0.6573,0.4633,0.307,0.263
rsi_22_dochian_low_10,Annualized Return,0.2005,0.2116,0.1024,0.3156,0.5361,0.1465,0.1392,0.1229,0.0851,0.0932,0.1538,0.1074,0.1292,0.0724,0.0692,0.1019,0.1141,0.1109,0.0839,0.0333,0.0469,0.0968,0.0619,0.0695,0.0687
